Period,Site,Vendor,Distro,Item,Item name,Item size,Category,,Sub category,Sold qty,Amount
Jun-22,AECS1096,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104689,Sweet Strawberries and Spicy Lime,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1096,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104690,Ripe Banana And Refreshing Icy Mint,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1099,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104688,Rich Tobacco With Vanilla Caramel Notes,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1099,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104690,Ripe Banana And Refreshing Icy Mint,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1099,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104691,Sweet Yet Rich Fiery Flavor,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1099,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104692,Fruity Irresistible Berry Blends,200G,211 - Cstore Tobacco,,21112 - Vapes,2,70
Jun-22,AECS2009,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104688,Rich Tobacco With Vanilla Caramel Notes,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS2009,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104689,Sweet Strawberries and Spicy Lime,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS2009,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104690,Ripe Banana And Refreshing Icy Mint,200G,211 - Cstore Tobacco,,21112 - Vapes,3,105
Jun-22,AECS2009,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104692,Fruity Irresistible Berry Blends,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS2010,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104690,Ripe Banana And Refreshing Icy Mint,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS2010,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104691,Sweet Yet Rich Fiery Flavor,200G,211 - Cstore Tobacco,,21112 - Vapes,2,70
Jun-22,AECS2010,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104692,Fruity Irresistible Berry Blends,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS2022,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104688,Rich Tobacco With Vanilla Caramel Notes,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS2022,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104689,Sweet Strawberries and Spicy Lime,200G,211 - Cstore Tobacco,,21112 - Vapes,3,105
Jun-22,AECS2022,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104691,Sweet Yet Rich Fiery Flavor,200G,211 - Cstore Tobacco,,21112 - Vapes,2,70
Jun-22,AECS2024,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104691,Sweet Yet Rich Fiery Flavor,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS2033,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104692,Fruity Irresistible Berry Blends,200G,211 - Cstore Tobacco,,21112 - Vapes,4,140
Jun-22,AECS2053,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104692,Fruity Irresistible Berry Blends,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS2058,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104688,Rich Tobacco With Vanilla Caramel Notes,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS2058,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104689,Sweet Strawberries and Spicy Lime,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS2063,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104692,Fruity Irresistible Berry Blends,200G,211 - Cstore Tobacco,,21112 - Vapes,6,210
Jun-22,AECS2073,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104688,Rich Tobacco With Vanilla Caramel Notes,200G,211 - Cstore Tobacco,,21112 - Vapes,2,70
Jun-22,AECS2073,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104689,Sweet Strawberries and Spicy Lime,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS2073,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104690,Ripe Banana And Refreshing Icy Mint,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS2073,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104692,Fruity Irresistible Berry Blends,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS2085,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104688,Rich Tobacco With Vanilla Caramel Notes,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS2085,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104689,Sweet Strawberries and Spicy Lime,200G,211 - Cstore Tobacco,,21112 - Vapes,3,105
Jun-22,AECS2085,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104690,Ripe Banana And Refreshing Icy Mint,200G,211 - Cstore Tobacco,,21112 - Vapes,2,70
Jun-22,AECS2085,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104691,Sweet Yet Rich Fiery Flavor,200G,211 - Cstore Tobacco,,21112 - Vapes,3,105
Jun-22,AECS2085,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104692,Fruity Irresistible Berry Blends,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS2089,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104689,Sweet Strawberries and Spicy Lime,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
